Start,End,Total duration,Alarm text,Alarm class
02/10/2018 22:01,02/10/2018 22:02,36,a,S
02/10/2018 22:01,02/10/2018 22:02,31,c,O
02/10/2018 22:03,02/10/2018 22:03,7,a,S
02/10/2018 22:03,02/10/2018 22:03,3,c,O
02/10/2018 22:14,02/10/2018 22:16,86,a,S
02/10/2018 22:14,02/10/2018 22:16,81,c,O
02/10/2018 22:17,02/10/2018 22:17,20,a,S
02/10/2018 22:17,02/10/2018 22:17,16,c,O
02/10/2018 23:28,02/10/2018 23:34,370,a,S
02/10/2018 23:28,02/10/2018 23:34,366,c,O
02/10/2018 23:45,03/10/2018 00:13,1680,b,E
02/10/2018 23:45,03/10/2018 00:13,1680,a,S
03/10/2018 01:56,03/10/2018 01:56,16,a,S
03/10/2018 01:56,03/10/2018 01:56,13,c,O
03/10/2018 01:57,03/10/2018 01:57,16,a,S
03/10/2018 02:01,03/10/2018 02:02,69,a,S
03/10/2018 02:01,03/10/2018 02:02,65,c,O
03/10/2018 02:09,03/10/2018 02:09,7,a,S
03/10/2018 02:09,03/10/2018 02:09,4,c,O
03/10/2018 02:10,03/10/2018 02:10,2,a,S
03/10/2018 02:11,03/10/2018 02:11,14,a,S
03/10/2018 02:11,03/10/2018 02:11,10,c,O
03/10/2018 02:15,03/10/2018 02:17,114,a,S
03/10/2018 02:15,03/10/2018 02:17,109,c,O
03/10/2018 02:18,03/10/2018 02:18,20,a,S
03/10/2018 02:18,03/10/2018 02:18,15,c,O
03/10/2018 02:19,03/10/2018 02:19,11,a,S
03/10/2018 02:19,03/10/2018 02:19,7,c,O
03/10/2018 02:22,03/10/2018 02:23,65,a,S
03/10/2018 02:22,03/10/2018 02:23,61,c,O
03/10/2018 02:24,03/10/2018 02:25,41,a,S
03/10/2018 02:24,03/10/2018 02:25,37,c,O
03/10/2018 02:27,03/10/2018 02:28,48,a,S
03/10/2018 02:27,03/10/2018 02:28,43,c,O
03/10/2018 02:30,03/10/2018 02:45,900,b,E
03/10/2018 02:30,03/10/2018 02:45,900,a,S
03/10/2018 02:48,03/10/2018 02:48,4,a,S
03/10/2018 02:58,03/10/2018 02:58,11,a,S
03/10/2018 02:58,03/10/2018 02:58,6,c,O
03/10/2018 03:05,03/10/2018 03:05,2,a,S
03/10/2018 03:09,03/10/2018 03:09,6,a,S
03/10/2018 03:09,03/10/2018 03:09,2,c,O
03/10/2018 03:17,03/10/2018 03:17,7,a,S
03/10/2018 03:17,03/10/2018 03:17,2,c,O
03/10/2018 03:26,03/10/2018 03:26,4,a,S
03/10/2018 03:28,03/10/2018 03:28,3,a,S
03/10/2018 03:30,03/10/2018 03:30,2,a,S
03/10/2018 03:32,03/10/2018 03:33,5,a,S
03/10/2018 03:33,03/10/2018 03:33,1,c,O
03/10/2018 03:34,03/10/2018 03:34,40,a,S
03/10/2018 03:34,03/10/2018 03:34,36,c,O
